iter	Passed	Remaining
0	1	122
1	2	122
2	3	121
3	4	112
4	6	114
5	7	113
6	8	113
7	9	112
8	11	112
9	12	109
10	13	107
11	14	107
12	16	107
13	17	107
14	19	108
15	20	107
16	21	105
17	22	104
18	24	103
19	25	103
20	27	101
21	28	100
22	29	98
23	31	98
24	32	97
25	34	97
26	35	96
27	36	94
28	37	92
29	39	91
30	40	90
31	41	88
32	43	87
33	44	86
34	45	85
35	47	84
36	48	82
37	49	81
38	51	79
39	52	78
40	53	76
41	53	74
42	54	72
43	55	71
44	56	69
45	57	68
46	59	66
47	59	64
48	60	63
49	62	62
50	63	60
51	64	59
52	65	57
53	66	56
54	66	54
55	67	53
56	68	51
57	69	50
58	70	48
59	71	47
60	71	46
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	76	37
67	77	36
68	78	35
69	79	34
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	26
76	86	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	102	2
98	103	1
99	104	0
